
FullName                                        Length
--------                                        ------
classes.dex                                    7084920
classes2.dex                                    203624
lib/arm64-v8a/libapp.so                       11142032
lib/arm64-v8a/libbarhopper_v3.so               4358080
lib/arm64-v8a/libc++_shared.so                 1253544
lib/arm64-v8a/libcrypto.so                     2594184
lib/arm64-v8a/libdartjni.so                     131400
lib/arm64-v8a/libdatastore_shared_counter.so      7112
lib/arm64-v8a/libflutter.so                   11581856
lib/arm64-v8a/libflutter_openssl_crypto.so        3928
lib/arm64-v8a/libimage_processing_util_jni.so    28944
lib/arm64-v8a/libjingle_peerconnection_so.so  11377944
lib/arm64-v8a/libolm.so                         154392
lib/arm64-v8a/libsqlcipher.so                  5187544
lib/arm64-v8a/libzxprotect.so                   538680


