缺陷编号,标题,步骤描述,预期结果,实际结果,状态,严重程度,缺陷截图,缺陷截图2,修复情况
BUG-01,输入错误的邀请码，会出现2个重复提示,"1. 进入注册页面
2. 输入错误的邀请码
3. 输入邮箱，点击获取验证码",只有1个提示,存在2个提示,新提交,建议,,,0.3.96/2134 正式包 修复完成
BUG-02,用户协议、隐私政策无法查看,"1. 进入登录页面
2. 查看用户协议、隐私政策",能正常查看,无法查看,新提交,一般,,,0.3.96/2134 正式包 修复完成
BUG-03,通讯录右侧滚动字母展示需要优化，可以从标签下方开始展示,"1. 进入通讯录
2. 查看右侧的展示",需要优化，参考微信,展示不合理,新提交,一般,,,
BUG-04,邀请码- 复制邀请链接，打开页面404,"1. 进入个人信息-邀请码
2. 复制邀请链接，去浏览器打开",能正常打开,打开页面404,新提交,严重,,,0.3.96/2134 正式包 修复完成
BUG-05,我的进行保存操作，无任何提示,"1. 进入我的
2. 修改后点击保存",有提示,无提示,新提交,一般,,,0.3.96/2134 正式包 修复完成
BUG-06,全部账单页面，筛选等样式需要优化,"1. 进入我的-点钻
2. 点击进入全部账单，查看",筛选等展示正常,展示不合理,新提交,一般,,,0.3.96/2134 正式包 修复完成
BUG-07,消息与通知，勿扰模式后存在多余文字展示,"1. 进入我的-设置-消息与通知
2. 查看勿扰模式后文字展示",展示正确,展示 (PRDS30,新提交,一般,,,
BUG-08,设置中，减少动态效果功能无效,"1. 进入我的-设置
2. 点击减少动态效果设置",能进行修改,点击无效,新提交,一般,,,
BUG-09, 新增好友时增加标签，在标签中不展示,"1. 新增好友时增加标签
2. 新增完成后，进入标签中查看",新增的标签能展示,新增的标签不能展示,新提交,严重,,,
BUG-10,黑名单设置无效,"1.进入好友设置
2. 点击黑名单的打开
3. 设置后，再次进入查看",设置生效,设置未生效，状态被重置,新提交,严重,,,
BUG-11,黑名单的打开按钮名称显示错误,"1.进入好友设置
2. 点击黑名单的打开
3. 查看按钮展示",展示 取消、确定,展示 取消、删除,新提交,一般,,,
BUG-12,更换邮箱，操作失败,"1. 进入注册页面
2. 输入邮箱后下一步，再点击修改邮箱
3. 更换邮箱，点击继续验证邮箱",能更换邮箱成功,更换邮箱失败,新提交,严重,,,
BUG-13,新的朋友页面，头像展示为空,"1. 进入新的朋友页面
2. 查看消息的头像展示",能展示正常,展示为空,新提交,一般,,,
BUG-14,"1. 通话消息气泡：需要直接能区分时语音通话还是视频通话
2. 再次点击通话消息气泡，能直接再次拨打，语音或者视频通话","1. 进入聊天页面
2.已进行过语音、视频聊天
3. 点击通话消息气泡","1. 需要直接能区分时语音通话还是视频通话
2. 点击通话消息气泡，能直接再次拨打",与预期结果不一致,新提交,严重,,,
BUG-15,已经设置未读后，再次点击 不展示 标记未读按钮,"1. 进入消息
2. 点击消息设置 标记未读
3. 再次 点击消息设置 标记未读",已经设置未读后，再次点击 不展示 标记未读按钮,仍然展示,新提交,一般,,,
BUG-16,聊天信息页面，点击添加进行发起群聊操作，发起群聊页面，建议默认选中该用户，可取消,"1. 进入消息
2. 进入聊天信息页面
3. 点击添加进行发起群聊操作",发起群聊页面，建议默认选中该用户，可取消,未选中,新提交,一般,,,
BUG-17,置顶后的消息背景颜色与后面背景颜色需要有区分,"1. 进入消息
2. 点击置顶
3. 置顶后查看",置顶后的消息背景颜色与后面背景颜色需要有区分,指定后的消息背景颜色与后面背景颜色一致,新提交,建议,,,
BUG-18,平台建议增加直接取消封禁功能,平台建议增加直接取消封禁功能,平台建议增加直接取消封禁功能,平台建议增加直接取消封禁功能,新提交,一般,,,
BUG-19,被封禁用户进行登录，提示错误,"1. 被封禁用户进行登录操作
2. 查看提示",提示正确 ,提示 账号或密码错误,新提交,一般,,,
